LanguageHaveWorkedWith,Currency,Country,RemoteWork,CompTotal
C++;Java;PHP;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",60000.0
C#;Go;PowerShell;Python;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL,USD	United States dollar,United States of America,Remote,120000.0
C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,128000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PowerShell;Python;Ruby,USD	United States dollar,United States of America,Remote,150000.0
C#;GDScript;PowerShell;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",65000.0
Dart;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,Remote,90000.0
HTML/CSS;JavaScript;Python;R;SAS;SQL,USD	United States dollar,United States of America,Remote,131300.0
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);Go;Java;JavaScript;Python;Ruby,USD	United States dollar,United States of America,Remote,330000.0
Clojure;HTML/CSS;Java;JavaScript;Python,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C++;Go;HTML/CSS;Python;Rust;SQL,USD	United States dollar,United States of America,Remote,120000.0
Python,EUR European Euro,Germany,Remote,110000.0
Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",187000.0
Assembly;C;C++;Fortran;Java;JavaScript;MATLAB;Python;R,USD	United States dollar,United States of America,Remote,150000.0
MATLAB;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",75000.0
Assembly;Bash/Shell (all shells);C;C++;Java;Kotlin;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",145000.0
Bash/Shell (all shells);C;Crystal;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;Python;R;Ruby;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,356900.0
Bash/Shell (all shells);C++;HTML/CSS;Python;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",280000.0
Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);Elixir;Go;JavaScript;Lua;Python;Rust;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
Bash/Shell (all shells);C;C++;Fortran;Python;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,In-person,69000.0
C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",85000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,275000.0
Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,In-person,75000.0
Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,192000.0
JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,156000.0
HTML/CSS;JavaScript;PHP;Python;SQL,USD	United States dollar,United States of America,Remote,164000.0
Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,160000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",75000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,95000.0
Bash/Shell (all shells);Elixir;Groovy;HTML/CSS;Java;JavaScript;Lisp;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",114400.0
Bash/Shell (all shells);C;C++;JavaScript;Lua;MATLAB;PowerShell;Python;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Assembly;Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",180000.0
C;C++;Java;Python;SQL,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C#;Java;Kotlin;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",235000.0
HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",240000.0
Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Assembly;Bash/Shell (all shells);C;C++;Java;JavaScript;Lua;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Bash/Shell (all shells);C;C#;C++;MATLAB;Python;Rust,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C;C++;Java;Perl;Python;SQL,USD	United States dollar,United States of America,In-person,90000.0
C#;F#;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,240000.0
Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;R;Ruby;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,155000.0
Bash/Shell (all shells);C#;Groovy;JavaScript;Python;R;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",151000.0
Bash/Shell (all shells);C;C#;C++;Clojure;Crystal;Elixir;F#;Go;Java;JavaScript;Lisp;Lua;Python;Ruby;Rust,USD	United States dollar,United States of America,Remote,240000.0
C#;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",87000.0
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",135000.0
Bash/Shell (all shells);Clojure;Java;Lua;Perl;Python;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,205000.0
C#;Go;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,225000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,70000.0
Assembly;Bash/Shell (all shells);C;C++;Python;Rust;Scala;SQL,USD	United States dollar,United States of America,Remote,250000.0
Dart;HTML/CSS;JavaScript;PHP;Python;SAS;SQL;TypeScript,USD	United States dollar,India,"Hybrid (some remote, some in-person)",7800.0
Go;JavaScript;Python,USD	United States dollar,United States of America,Remote,210000.0
Bash/Shell (all shells);Java;Python,USD	United States dollar,United States of America,Remote,135000.0
C;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,190000.0
Go;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,
Python;SAS;SQL,USD	United States dollar,United States of America,Remote,145000.0
Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;Lua;Nim;Python;R;TypeScript;Zig,USD	United States dollar,United States of America,Remote,
C#;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,160000.0
C#;HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",97000.0
HTML/CSS;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,77000.0
Python;R;SAS;SQL,USD	United States dollar,United States of America,Remote,208000.0
C;C++;Go;Python,USD	United States dollar,United States of America,In-person,1200000.0
Bash/Shell (all shells);HTML/CSS;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",65000.0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,102969.0
C;Java;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,,
Bash/Shell (all shells);C#;PowerShell;Python;R,USD	United States dollar,United States of America,Remote,235000.0
Java;JavaScript;Julia;Python;Scala,USD	United States dollar,United States of America,Remote,110000.0
Bash/Shell (all shells);C;HTML/CSS;JavaScript;MATLAB;Python;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
C++;Python,USD	United States dollar,United States of America,Remote,80000.0
Bash/Shell (all shells);Go;Java;PowerShell;Python;R;Scala,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",164600.0
Bash/Shell (all shells);Go;Groovy;Python,USD	United States dollar,United States of America,Remote,195000.0
Bash/Shell (all shells);C++;Flow;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;Python;R;Rust;SQL;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",550000.0
Apex;Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,USD	United States dollar,United States of America,Remote,206000.0
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Rust;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",130000.0
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,Remote,160000.0
C#;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",1000000.0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,175000.0
Bash/Shell (all shells);HTML/CSS;Python;SQL;Swift,USD	United States dollar,United States of America,In-person,207000.0
C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C++;HTML/CSS;Python;Ruby,USD	United States dollar,United States of America,In-person,180000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,150000.0
Dart;Kotlin;Objective-C;Python;SQL;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",300000.0
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,170000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Lua;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
Bash/Shell (all shells);C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;Swift;TypeScript,USD	United States dollar,United States of America,Remote,
Go;Groovy;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,234000.0
Go;Nim;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",95500.0
C;C++;Python;Rust,USD	United States dollar,United States of America,In-person,175000.0
HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,230000.0
Bash/Shell (all shells);Go;Groovy;Perl;Python,USD	United States dollar,United States of America,Remote,421112.0
C#;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);HTML/CSS;Python;Rust;Scala;TypeScript,USD	United States dollar,United States of America,Remote,180000.0
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,
C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",450000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,90000.0
C++;MATLAB;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",148000.0
Bash/Shell (all shells);HTML/CSS;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",125000.0
Bash/Shell (all shells);C;Julia;MATLAB;PowerShell;Python;Rust,USD	United States dollar,United States of America,In-person,197000.0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,USD	United States dollar,United States of America,In-person,90000.0
Bash/Shell (all shells);Erlang;Python;SQL,USD	United States dollar,United States of America,Remote,125000.0
C++;Kotlin;Python;Rust,USD	United States dollar,United States of America,In-person,110000.0
Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",125000.0
C#;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",75000.0
HTML/CSS;JavaScript;Python;R;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",320000.0
HTML/CSS;Java;JavaScript;Python,USD	United States dollar,United States of America,In-person,
Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,123000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",300000.0
Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,153000.0
HTML/CSS;JavaScript;PHP;Python;Rust,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",145000.0
Bash/Shell (all shells);C;C++;Fortran;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Java;Python;SQL,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",65000.0
Go;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,160000.0
Bash/Shell (all shells);C++;Lua;PowerShell;Python,USD	United States dollar,United States of America,In-person,102000.0
Bash/Shell (all shells);Go;JavaScript;Python,USD	United States dollar,United States of America,Remote,210000.0
C#;JavaScript;MATLAB;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,250000.0
C#;JavaScript;Python,USD	United States dollar,United States of America,Remote,95000.0
Bash/Shell (all shells);Dart;Go;Java;Kotlin;Python;Swift,EUR European Euro,Germany,Remote,
C#;JavaScript;Python,USD	United States dollar,United States of America,Remote,265000.0
C#;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
C#;HTML/CSS;JavaScript;Kotlin;Perl;Python;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,USD	United States dollar,United States of America,Remote,240000.0
C#;Dart;Python;SQL;Swift,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",120000.0
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,Remote,200000.0
Assembly;Bash/Shell (all shells);C;C++;Go;Haskell;Java;Python;Rust;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,285000.0
C++;Go;Groovy;Java;Kotlin;Python;Rust;Scala,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",
C#;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",130000.0
HTML/CSS;JavaScript;PHP;Python;TypeScript,USD	United States dollar,United States of America,Remote,142000.0
APL;Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Fortran;HTML/CSS;JavaScript;Lisp;Objective-C;Perl;PHP;Python;Swift;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);C;C++;Lisp;Python;Zig,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
C;C#;C++;F#;Haskell;HTML/CSS;JavaScript;Objective-C;PHP;PowerShell;Python;Rust;SQL;Swift;TypeScript,USD	United States dollar,United States of America,Remote,96000.0
Python;R,USD	United States dollar,United States of America,,
HTML/CSS;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
Dart;Go;Python,USD	United States dollar,United States of America,Remote,315000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,Remote,120000.0
C#;C++;PowerShell;Python;SQL,USD	United States dollar,United States of America,Remote,150000.0
Go;Python;Rust;Scala;SQL,USD	United States dollar,United States of America,Remote,226000.0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Objective-C;Python;TypeScript,USD	United States dollar,United States of America,Remote,330000.0
Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL,USD	United States dollar,United States of America,Remote,125000.0
C;C#;C++;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,In-person,61000.0
Go;Groovy;JavaScript;Python;Ruby,USD	United States dollar,United States of America,Remote,225000.0
C#;Go;HTML/CSS;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",75000.0
Assembly;Bash/Shell (all shells);C;C#;C++;GDScript;HTML/CSS;Java;JavaScript;Python;Rust;SQL;Swift;TypeScript,USD	United States dollar,United States of America,In-person,135000.0
C#;JavaScript;Python;Ruby;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",66500.0
C#;C++;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",220000.0
Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Delphi;Fortran;Java;JavaScript;Lisp;Objective-C;Perl;PHP;PowerShell;Python;Ruby;SQL;Swift;VBA;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",1400000.0
HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",92000.0
C;Haskell;HTML/CSS;Lisp;Python;R;SQL,USD	United States dollar,United States of America,In-person,120000.0
Bash/Shell (all shells);C#;Java;JavaScript;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,275000.0
Bash/Shell (all shells);Go;Groovy;HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",190000.0
HTML/CSS;Java;Kotlin;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,73000.0
C#;HTML/CSS;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",110000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",290000.0
Assembly;Bash/Shell (all shells);C;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",187000.0
Go;Java;JavaScript;Python;Rust;Scala;TypeScript,USD	United States dollar,United States of America,Remote,220000.0
JavaScript;Kotlin;PHP;Python,USD	United States dollar,Canada,"Hybrid (some remote, some in-person)",100000.0
HTML/CSS;JavaScript;PHP;Python,USD	United States dollar,United States of America,Remote,80000.0
Clojure;HTML/CSS;Java;Python,USD	United States dollar,United States of America,Remote,180000.0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,Remote,88000.0
Bash/Shell (all shells);C++;HTML/CSS;Python,EUR European Euro,Germany,"Hybrid (some remote, some in-person)",65000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",180000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",112000.0
PowerShell;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
Assembly;Bash/Shell (all shells);C;Haskell;HTML/CSS;JavaScript;PowerShell;Python;Rust;TypeScript,USD	United States dollar,United States of America,In-person,
Java;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Python;R;SQL,USD	United States dollar,United States of America,Remote,300000.0
Bash/Shell (all shells);Python;SQL,USD	United States dollar,United States of America,Remote,
C#;C++;HTML/CSS;JavaScript;Python;TypeScript;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",170000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Objective-C;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Bash/Shell (all shells);Go;Python,USD	United States dollar,United States of America,Remote,160000.0
C#;Java;JavaScript;Python;Scala;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",450000.0
Apex;C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;Zig,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",155000.0
JavaScript;Python;SQL,USD	United States dollar,United States of America,In-person,
HTML/CSS;JavaScript;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",100000.0
Go;Python;Rust;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Java;MATLAB;Python,USD	United States dollar,United States of America,In-person,102000.0
C#;Go;Python,USD	United States dollar,United States of America,Remote,174500.0
C#;Elixir;Go;Python;Rust;Scala;SQL,USD	United States dollar,United States of America,In-person,290000.0
HTML/CSS;JavaScript;Python;Ruby,USD	United States dollar,United States of America,Remote,150000.0
HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Visual Basic (.Net),USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",150000.0
HTML/CSS;JavaScript;Python,USD	United States dollar,United States of America,In-person,85000.0
Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;TypeScript,USD	United States dollar,United States of America,Remote,310000.0
Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Perl;PowerShell;Python;R;Ruby;SQL;TypeScript,USD	United States dollar,United States of America,Remote,83000.0
Bash/Shell (all shells);C;C#;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",430000.0
Bash/Shell (all shells);C++;Go;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",378000.0
Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL,USD	United States dollar,United States of America,Remote,
Bash/Shell (all shells);Java;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,158000.0
Bash/Shell (all shells);C++;Go;Groovy;Java;Perl;Python;Rust;SQL,EUR European Euro,Germany,Remote,53000.0
Cobol;Java;Perl;Python;SQL,USD	United States dollar,United States of America,Remote,90000.0
Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
HTML/CSS;Java;JavaScript;Python;Ruby,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",
Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;Ruby,USD	United States dollar,United States of America,Remote,190000.0
Assembly;Bash/Shell (all shells);C;Go;Java;JavaScript;Lua;Python,USD	United States dollar,United States of America,Remote,88000.0
Bash/Shell (all shells);HTML/CSS;Python;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",135000.0
Bash/Shell (all shells);C;C++;Go;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,In-person,
Java;Python;TypeScript,USD	United States dollar,United States of America,Remote,118000.0
C++;Go;Java;Python;Rust,USD	United States dollar,United States of America,In-person,375000.0
Go;HTML/CSS;JavaScript;Lua;Python;Rust,USD	United States dollar,United States of America,Remote,220000.0
Bash/Shell (all shells);Python;Ruby,USD	United States dollar,United States of America,Remote,
HTML/CSS;JavaScript;PHP;Python;R,USD	United States dollar,United States of America,In-person,41000.0
Bash/Shell (all shells);Go;JavaScript;Python;TypeScript,USD	United States dollar,United States of America,Remote,240000.0
Go;HTML/CSS;Java;Python;Ruby;TypeScript,USD	United States dollar,United States of America,Remote,220000.0
Python;R,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",140000.0
C;C#;C++;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",180000.0
Go;Python,USD	United States dollar,United States of America,Remote,210000.0
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Swift;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
C#;Python;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",90000.0
Python;R;VBA,USD	United States dollar,United States of America,Remote,121000.0
Bash/Shell (all shells);C;C++;JavaScript;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Bash/Shell (all shells);Go;Python,USD	United States dollar,United States of America,Remote,167000.0
Bash/Shell (all shells);Go;Java;JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,180000.0
Bash/Shell (all shells);C++;Go;Java;JavaScript;Kotlin;PowerShell;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,In-person,225000.0
Bash/Shell (all shells);Go;Python;Ruby;TypeScript,USD	United States dollar,United States of America,Remote,230000.0
Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Assembly;Bash/Shell (all shells);C;C++;PowerShell;Python,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",200000.0
Python;R;SQL,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",135000.0
C#;Groovy;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;Scala;SQL;TypeScript;VBA,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",300000.0
Bash/Shell (all shells);JavaScript;Python;SQL,USD	United States dollar,United States of America,Remote,200000.0
Bash/Shell (all shells);C#;PowerShell;Python;SQL;TypeScript,USD	United States dollar,United States of America,Remote,125000.0
Bash/Shell (all shells);C++;Clojure;Dart;Python;Rust;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",250000.0
Bash/Shell (all shells);Go;Java;Kotlin;Python;SQL,USD	United States dollar,United States of America,Remote,195000.0
HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,USD	United States dollar,United States of America,"Hybrid (some remote, some in-person)",115000.0
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,USD	United States dollar,United States of America,Remote,150000.0
